date,TLT_close,IEF_close,SHY_close
2014-11-28,122.49,106.19,84.76
2014-12-01,121.5,105.75,84.73
2014-12-02,120.32,105.28,84.68
2014-12-03,120.79,105.32,84.64
2014-12-04,121.8,105.69,84.69
2014-12-05,121.09,105.1,84.53
2014-12-08,122.57,105.45,84.52
2014-12-09,123.2,105.84,84.55
2014-12-10,124.1,106.32,84.62
2014-12-11,124.61,106.14,84.58
2014-12-12,126.3,107.01,84.66
2014-12-15,126.04,106.62,84.6
2014-12-16,127.6,107.16,84.65
2014-12-17,126.45,106.42,84.57
2014-12-18,124.2,105.82,84.52
2014-12-19,125.87,106.21,84.46
2014-12-22,126.04,106.21,84.48
2014-12-23,123.54,105.33,84.39
2014-12-24,123.95,105.25,84.4
2014-12-26,124.41,105.39,84.37
2014-12-29,125.34,105.75,84.45
2014-12-30,125.68,105.87,84.48
2014-12-31,125.92,105.99,84.45
2015-01-02,127.32,106.53,84.54
2015-01-05,129.32,107.18,84.54
2015-01-06,131.65,107.9,84.58
2015-01-07,131.39,107.88,84.62
2015-01-08,129.65,107.44,84.61
2015-01-09,131.07,107.97,84.68
2015-01-12,131.82,108.35,84.73
2015-01-13,131.82,108.45,84.78
2015-01-14,132.82,108.95,84.83
2015-01-15,134.91,109.88,84.96
2015-01-16,133.19,109.07,84.88
2015-01-20,134.96,109.32,84.84
2015-01-21,133.4,108.8,84.84
2015-01-22,132.92,108.53,84.81
2015-01-23,134.77,109.24,84.85
2015-01-26,134.36,108.99,84.8
2015-01-27,134.57,109.14,84.85
2015-01-28,136.77,109.98,84.91
2015-01-29,135.87,109.59,84.88
2015-01-30,138.28,110.55,84.98
2015-02-02,137.48,110.23,84.92
2015-02-03,134.57,109.3,84.85
2015-02-04,134.8,109.48,84.863
2015-02-05,133.32,109.08,84.83
2015-02-06,130.96,107.86,84.63
2015-02-09,130.75,107.81,84.62
2015-02-10,129.71,107.54,84.6
2015-02-11,129.95,107.5,84.61
2015-02-12,129.52,107.54,84.64
2015-02-13,128.19,107.18,84.64
2015-02-17,126.26,106.42,84.6
2015-02-18,127.01,106.93,84.7
2015-02-19,126.17,106.66,84.65
2015-02-20,126.54,106.6,84.64
2015-02-23,127.99,107.09,84.68
2015-02-24,129.67,107.8,84.75
2015-02-25,130.23,107.9,84.75
2015-02-26,128.45,107.26,84.67
2015-02-27,129.53,107.64,84.7
2015-03-02,126.87,106.67,84.6
2015-03-03,126.41,106.44,84.58
2015-03-04,126.45,106.52,84.6
2015-03-05,126.29,106.58,84.63
2015-03-06,123.5,105.49,84.54
2015-03-09,124.64,105.98,84.58
2015-03-10,126.28,106.43,84.6
2015-03-11,127.2,106.62,84.6
2015-03-12,127.11,106.72,84.62
2015-03-13,126.72,106.56,84.63
